PARAMS map_range=50 map_step=1
H_Delta V_Delta RSSI
-50 -50 86
-49 -50 97
-48 -50 115
-47 -50 131
-46 -50 151
-45 -50 180
-44 -50 181
-43 -50 204
-42 -50 237
-41 -50 245
-40 -50 280
-39 -50 327
-38 -50 366
-37 -50 370
-36 -50 421
-35 -50 449
-34 -50 514
-33 -50 548
-32 -50 555
-31 -50 592
-30 -50 696
-29 -50 732
-28 -50 760
-27 -50 839
-26 -50 829
-25 -50 881
-24 -50 889
-23 -50 955
-22 -50 1077
-21 -50 1143
-20 -50 1171
-19 -50 1309
-18 -50 1339
-17 -50 1355
-16 -50 1383
-15 -50 1452
-14 -50 1635
-13 -50 1657
-12 -50 1694
-11 -50 1698
-10 -50 1682
-9 -50 1811
-8 -50 1841
-7 -50 1864
-6 -50 1936
-5 -50 1959
-4 -50 2041
-3 -50 2111
-2 -50 2107
-1 -50 2115
0 -50 2117
1 -50 2105
2 -50 2022
3 -50 1999
4 -50 2058
5 -50 1971
6 -50 2051
7 -50 2045
8 -50 2015
9 -50 2022
10 -50 1917
11 -50 1942
12 -50 1946
13 -50 1959
14 -50 1978
15 -50 1921
16 -50 1901
17 -50 1919
18 -50 1915
19 -50 1847
20 -50 1782
21 -50 1768
22 -50 1718
23 -50 1665
24 -50 1637
25 -50 1586
26 -50 1517
27 -50 1552
28 -50 1428
29 -50 1411
30 -50 1430
31 -50 1370
32 -50 1315
33 -50 1249
34 -50 1189
35 -50 1173
36 -50 1082
37 -50 1061
38 -50 1014
39 -50 960
40 -50 930
41 -50 870
42 -50 804
43 -50 783
44 -50 724
45 -50 651
46 -50 656
47 -50 558
48 -50 537
49 -50 511
50 -50 455
-50 -49 91
-49 -49 103
-48 -49 115
-47 -49 126
-46 -49 135
-45 -49 164
-44 -49 182
-43 -49 213
-42 -49 241
-41 -49 277
-40 -49 300
-39 -49 336
-38 -49 390
-37 -49 434
-36 -49 486
-35 -49 550
-34 -49 568
-33 -49 647
-32 -49 713
-31 -49 763
-30 -49 834
-29 -49 870
-28 -49 892
-27 -49 912
-26 -49 1024
-25 -49 1072
-24 -49 1160
-23 -49 1205
-22 -49 1269
-21 -49 1370
-20 -49 1422
-19 -49 1467
-18 -49 1507
-17 -49 1555
-16 -49 1726
-15 -49 1740
-14 -49 1762
-13 -49 1851
-12 -49 1915
-11 -49 1936
-10 -49 2056
-9 -49 2107
-8 -49 2167
-7 -49 2158
-6 -49 2117
-5 -49 2189
-4 -49 2202
-3 -49 2243
-2 -49 2309
-1 -49 2272
0 -49 2254
1 -49 2245
2 -49 2272
3 -49 2283
4 -49 2291
5 -49 2289
6 -49 2405
7 -49 2353
8 -49 2338
9 -49 2291
10 -49 2254
11 -49 2215
12 -49 2158
13 -49 2184
14 -49 2113
15 -49 2186
16 -49 2092
17 -49 2066
18 -49 2009
19 -49 2056
20 -49 2011
21 -49 1930
22 -49 1919
23 -49 1843
24 -49 1809
25 -49 1724
26 -49 1665
27 -49 1722
28 -49 1592
29 -49 1581
30 -49 1569
31 -49 1534
32 -49 1485
33 -49 1477
34 -49 1370
35 -49 1318
36 -49 1268
37 -49 1198
38 -49 1120
39 -49 1070
40 -49 1007
41 -49 982
42 -49 927
43 -49 837
44 -49 810
45 -49 732
46 -49 674
47 -49 633
48 -49 589
49 -49 544
50 -49 487
-50 -48 102
-49 -48 111
-48 -48 133
-47 -48 147
-46 -48 167
-45 -48 191
-44 -48 229
-43 -48 246
-42 -48 257
-41 -48 311
-40 -48 350
-39 -48 401
-38 -48 423
-37 -48 479
-36 -48 514
-35 -48 563
-34 -48 654
-33 -48 706
-32 -48 695
-31 -48 774
-30 -48 852
-29 -48 933
-28 -48 983
-27 -48 1075
-26 -48 1159
-25 -48 1212
-24 -48 1339
-23 -48 1313
-22 -48 1420
-21 -48 1460
-20 -48 1515
-19 -48 1588
-18 -48 1619
-17 -48 1651
-16 -48 1690
-15 -48 1746
-14 -48 1897
-13 -48 1915
-12 -48 1942
-11 -48 2060
-10 -48 2107
-9 -48 2083
-8 -48 2081
-7 -48 2122
-6 -48 2226
-5 -48 2152
-4 -48 2232
-3 -48 2206
-2 -48 2189
-1 -48 2267
0 -48 2398
1 -48 2263
2 -48 2283
3 -48 2351
4 -48 2333
5 -48 2302
6 -48 2369
7 -48 2358
8 -48 2382
9 -48 2441
10 -48 2441
11 -48 2421
12 -48 2450
13 -48 2466
14 -48 2391
15 -48 2336
16 -48 2291
17 -48 2305
18 -48 2226
19 -48 2265
20 -48 2141
21 -48 2184
22 -48 2047
23 -48 2028
24 -48 2053
25 -48 1992
26 -48 1926
27 -48 1864
28 -48 1801
29 -48 1794
30 -48 1669
31 -48 1669
32 -48 1637
33 -48 1598
34 -48 1447
35 -48 1435
36 -48 1389
37 -48 1298
38 -48 1237
39 -48 1185
40 -48 1113
41 -48 1061
42 -48 930
43 -48 902
44 -48 853
45 -48 775
46 -48 723
47 -48 669
48 -48 599
49 -48 563
50 -48 511
-50 -47 122
-49 -47 131
-48 -47 153
-47 -47 176
-46 -47 199
-45 -47 217
-44 -47 256
-43 -47 292
-42 -47 338
-41 -47 358
-40 -47 432
-39 -47 445
-38 -47 448
-37 -47 545
-36 -47 567
-35 -47 651
-34 -47 707
-33 -47 758
-32 -47 791
-31 -47 866
-30 -47 917
-29 -47 938
-28 -47 1031
-27 -47 1108
-26 -47 1175
-25 -47 1235
-24 -47 1329
-23 -47 1454
-22 -47 1492
-21 -47 1579
-20 -47 1521
-19 -47 1573
-18 -47 1665
-17 -47 1623
-16 -47 1692
-15 -47 1750
-14 -47 1831
-13 -47 1926
-12 -47 1946
-11 -47 2045
-10 -47 2075
-9 -47 2111
-8 -47 2186
-7 -47 2274
-6 -47 2278
-5 -47 2280
-4 -47 2305
-3 -47 2358
-2 -47 2387
-1 -47 2412
0 -47 2430
1 -47 2464
2 -47 2521
3 -47 2443
4 -47 2470
5 -47 2400
6 -47 2550
7 -47 2583
8 -47 2530
9 -47 2511
10 -47 2470
11 -47 2448
12 -47 2427
13 -47 2466
14 -47 2525
15 -47 2507
16 -47 2414
17 -47 2414
18 -47 2457
19 -47 2331
20 -47 2285
21 -47 2336
22 -47 2221
23 -47 2256
24 -47 2132
25 -47 2081
26 -47 2028
27 -47 2026
28 -47 1921
29 -47 1864
30 -47 1803
31 -47 1760
32 -47 1726
33 -47 1688
34 -47 1614
35 -47 1540
36 -47 1544
37 -47 1445
38 -47 1372
39 -47 1282
40 -47 1192
41 -47 1143
42 -47 1087
43 -47 1015
44 -47 914
45 -47 883
46 -47 839
47 -47 802
48 -47 736
49 -47 683
50 -47 617
-50 -46 144
-49 -46 146
-48 -46 165
-47 -46 193
-46 -46 216
-45 -46 251
-44 -46 276
-43 -46 319
-42 -46 361
-41 -46 396
-40 -46 428
-39 -46 455
-38 -46 545
-37 -46 578
-36 -46 592
-35 -46 701
-34 -46 700
-33 -46 779
-32 -46 844
-31 -46 919
-30 -46 1007
-29 -46 1068
-28 -46 1164
-27 -46 1232
-26 -46 1287
-25 -46 1357
-24 -46 1505
-23 -46 1596
-22 -46 1637
-21 -46 1686
-20 -46 1770
-19 -46 1901
-18 -46 1946
-17 -46 1890
-16 -46 2020
-15 -46 2100
-14 -46 2156
-13 -46 2154
-12 -46 2278
-11 -46 2280
-10 -46 2351
-9 -46 2409
-8 -46 2434
-7 -46 2521
-6 -46 2594
-5 -46 2562
-4 -46 2594
-3 -46 2645
-2 -46 2571
-1 -46 2673
0 -46 2636
1 -46 2627
2 -46 2694
3 -46 2713
4 -46 2813
5 -46 2772
6 -46 2730
7 -46 2730
8 -46 2706
9 -46 2730
10 -46 2723
11 -46 2711
12 -46 2711
13 -46 2775
14 -46 2753
15 -46 2680
16 -46 2662
17 -46 2671
18 -46 2583
19 -46 2495
20 -46 2464
21 -46 2400
22 -46 2340
23 -46 2325
24 -46 2349
25 -46 2256
26 -46 2173
27 -46 2165
28 -46 2041
29 -46 1965
30 -46 2009
31 -46 1932
32 -46 1794
33 -46 1752
34 -46 1708
35 -46 1637
36 -46 1598
37 -46 1567
38 -46 1486
39 -46 1424
40 -46 1417
41 -46 1346
42 -46 1271
43 -46 1205
44 -46 1053
45 -46 1055
46 -46 933
47 -46 887
48 -46 836
49 -46 772
50 -46 666
-50 -45 146
-49 -45 169
-48 -45 176
-47 -45 208
-46 -45 253
-45 -45 276
-44 -45 280
-43 -45 342
-42 -45 384
-41 -45 396
-40 -45 458
-39 -45 495
-38 -45 570
-37 -45 608
-36 -45 662
-35 -45 749
-34 -45 791
-33 -45 881
-32 -45 930
-31 -45 1014
-30 -45 1113
-29 -45 1233
-28 -45 1298
-27 -45 1374
-26 -45 1426
-25 -45 1544
-24 -45 1639
-23 -45 1794
-22 -45 1833
-21 -45 1965
